phase,start,end,color,details
Invitation,2021-01-06,2021-10-21,#636363,Invitations ran from 06 January 2021 to 21 October 2021.
Registration,2021-01-07,2021-09-22,#7ea5f8,Registration ran from 07 January 2021 to 22 September 2021.
Baseline clinic,2021-01-13,2021-10-15,#f2a323,Baseline clinic visits ran from 13 January 2021 to 15 October 2021.
Follow-up clinic,2021-10-13,2021-12-09,#c94b4b,Follow-up clinic visits ran from 13 October 2021 to 09 December 2021.
